Session default channel group,Date,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Cross-network,2024-12-25,2522,1129,0.4476605868358446,29.909595559080095,7.729579698651864,19494,14,0.0055511498810467,8145.4
Organic Search,2024-12-17,2522,1174,0.4655035685963521,36.7101506740682,8.75218080888184,22073,34,0.0134813639968279,15747.04854
Cross-network,2024-12-04,2517,1022,0.4060389352403655,25.937624155740963,7.591974572904251,19109,26,0.0099324592769169,14248.4
Organic Social,2024-12-23,2497,904,0.3620344413295955,9.058470164197036,5.680816980376452,14185,9,0.0036043251902282,6276.85
Referral,2024-12-15,2497,836,0.3348017621145374,19.034040849018822,6.2583099719663595,15627,6,0.0024028834601521,2874.6
Cross-network,2024-12-09,2494,1040,0.4170008019246191,26.643945469125903,7.712109061748196,19234,23,0.0092221331194867,15578.427901
Cross-network,2024-12-17,2476,1107,0.447092084006462,29.94830371567044,7.850969305331179,19439,28,0.0109046849757673,16113.19
Paid Social,2024-12-20,2475,667,0.2694949494949495,2.8412121212121213,4.801212121212121,11883,2,0.0008080808080808,948.2
Organic Search,2024-12-07,2473,1126,0.4553174282248281,33.36676101900526,8.680549939344925,21467,21,0.0084917104731095,15798.255979
Cross-network,2024-12-05,2470,1039,0.4206477732793522,30.193117408906883,8.044129554655871,19869,20,0.0076923076923076,11282.6
Affiliates,2024-12-08,2449,573,0.2339730502245814,6.227031441404655,5.5014291547570435,13473,5,0.0020416496529195,2202.5576
Cross-network,2024-12-07,2449,1044,0.4262964475296039,28.82564311964067,8.182931808901593,20040,21,0.0085749285422621,14509.2
Organic Search,2024-12-31,2433,1151,0.4730785039046444,38.56884504726675,8.406905055487053,20454,23,0.0090423345663789,17947.203135
Cross-network,2024-12-08,2415,1006,0.4165631469979296,25.704347826086956,8.177225672877848,19748,26,0.0107660455486542,15835.628878
Referral,2024-12-11,2405,848,0.3525987525987526,17.906029106029106,6.552598752598753,15759,8,0.0033264033264033,3416.6
Organic Social,2024-12-29,2382,954,0.4005037783375315,13.261964735516372,5.996221662468514,14283,10,0.0041981528127623,8109.11
Affiliates,2024-12-07,2374,537,0.2262005054759898,6.822240943555181,5.4469250210614995,12931,1,0.0004212299915754,296.65
Referral,2024-12-13,2374,833,0.3508845829823083,16.76916596461668,6.540016849199663,15526,10,0.004212299915754,5584.992685
Cross-network,2024-12-19,2368,1035,0.4370777027027027,26.63302364864865,7.515202702702703,17796,30,0.0126689189189189,24748.55
Cross-network,2024-12-13,2362,1026,0.4343776460626588,25.02540220152413,7.632938187976292,18029,20,0.008467400508044,14653.368177
Cross-network,2024-12-21,2352,1039,0.4417517006802721,27.068877551020407,7.36437074829932,17321,17,0.0072278911564625,11057.8
Organic Social,2024-12-25,2339,977,0.4176998717400598,12.17486105173151,6.141085934159897,14364,12,0.0051303976058144,5867.71
Organic Search,2024-12-19,2333,1086,0.4654950707243892,39.386198028289755,8.555079297042434,19959,33,0.0141448778396913,20513.949352
Cross-network,2024-12-18,2328,1003,0.4308419243986254,29.037800687285223,7.690292096219931,17903,25,0.0107388316151202,19366.4
Organic Shopping,2024-12-02,2312,926,0.4005190311418685,22.70242214532872,8.139705882352942,18819,34,0.0147058823529411,26429.4
Referral,2024-12-30,2306,840,0.3642671292281006,19.485689505637467,6.452298352124892,14879,10,0.0043365134431916,4151.4
Organic Social,2024-12-26,2302,940,0.4083405734144222,12.718071242397915,6.204604691572546,14283,13,0.0056472632493483,6957.93
Cross-network,2024-12-23,2293,989,0.4313126907980811,28.398604448320977,7.508940252943741,17218,17,0.0074138682948102,8351.0
Cross-network,2024-12-22,2272,994,0.4375,33.00924295774648,7.591109154929577,17247,19,0.008362676056338,15154.386578
Organic Social,2024-12-30,2271,938,0.4130339057683839,11.61074416556583,5.827829150154117,13235,14,0.0061646851607221,10639.92
Cross-network,2024-12-14,2270,989,0.4356828193832599,27.482819383259912,7.860792951541851,17844,17,0.0074889867841409,8522.883935
Referral,2024-12-07,2270,781,0.3440528634361233,17.01453744493392,6.624669603524229,15038,6,0.0022026431718061,4291.15
Referral,2024-12-29,2238,817,0.3650580875781948,21.532171581769436,6.319481680071492,14143,15,0.0067024128686327,6334.852168
Organic Search,2024-12-18,2232,1073,0.4807347670250896,37.93458781362007,9.043906810035844,20186,39,0.0170250896057347,22912.173752
Organic Social,2024-12-14,2194,811,0.369644484958979,11.412032816773015,6.2278942570647216,13664,15,0.0068368277119416,8280.38
Organic Shopping,2024-12-11,2191,885,0.403925148334094,14.947512551346415,7.039707895937928,15424,13,0.0059333637608397,8620.0
